id,count
1563,237.13
1566,153.59
1567,147.15
1568,29.14
1571,231.37
1572,17.93
1574,49.39
1577,17.3
1583,75.6
1585,33.07
1586,183.2
1587,184.92
1596,150.55
1602,35.85
1604,83.45
1605,33.01
1610,309.68
1611,95.71
1616,32.26
1617,101.83
1618,14.9
1622,42.68
1623,32.43
1628,315.09
1631,16.15
1632,192.52
1633,244.78
1634,307.47
1636,208.81
1637,99.49
1643,120.47
1644,102.91
1646,100.42
1648,203.77
1651,34.05
1656,19.58
1658,144.67
1659,17.8
1665,180.33
1666,141.55
1670,41.14
1674,148.01
1679,191.69
1680,212.26
1683,328.85
1686,29.62
1691,99.31
1693,38.03
1696,40.56
1697,100.13
1703,98.34
1706,28.37
1709,160.6
1710,85.91
1712,186.89
1713,119.78
1718,332.37
1719,180.47
1722,283.34
1723,126.52
1724,283.15
1728,67.41
1730,30.74
1732,28.85
1737,34.85
1745,83.24
1747,13.63
1748,13.84
1755,103.06
1759,16.19
1761,275.44
1764,237.72
1765,149.42
1766,85.77
1768,106.71
1770,30.12
1771,146.77
1774,96.91
1785,128.93
1788,184.83
1792,14.52
1794,224.11
1797,123.1
1798,14.42
1799,263.59
1802,101.3
1806,41.91
1808,84.9
1810,237.18
1818,110.48
1819,373.59
1820,282.17
1822,226.29
1826,206.31
1827,167.77
1835,18.42
1841,120.05
1842,152.83
1843,18.29
1846,45.88
1849,93.4
1850,217.63
1851,188.66
1857,52.02
1858,184.04
1860,96.72
1861,243.94
1864,115.95
1869,317.61
1871,64.9
1872,31.58
1875,17.14
1878,227.67
1879,249.44
1885,88.62
1888,111.43
1889,29.52
1890,95.05
1896,150.07
1897,183.44
1898,118.28
1900,107.66
1905,37.65
1908,117.31
1909,104.39
1913,67.03
1918,108.51
1922,311.92
1923,135.11
1925,262.87
1926,146.78
1927,298.33
1930,193.92
1935,64.68
1939,118.63
1942,94.28
1943,227.13
1948,248.86
1949,260.75
1951,108.34
1953,122.65
1959,132.12
1963,17.23
1967,125.84
1973,267.73
1975,27.98
1976,87.85
1990,122.61
1993,116.6
1997,178.36
1999,131.05
2001,297.05
2004,84.24
2010,101.26
2013,139.14
2017,294.46
2021,115.61
2023,145.68
2026,148.43
2037,31.17
2039,171.59
2041,16.6
2046,29.63
2050,16.64
2060,227.27
2067,103.22
2069,161.34
2072,254.21
2074,144.75
2079,141.21
2083,26.78
2085,182.04
2087,16.48
2093,150.12
2094,32.15
2097,37.26
2103,94.53
2104,54.58
2107,203.46
2108,20.56
2110,102.33
2115,176.35
2117,30.96
2125,312.13
2127,266.19
2133,16.42
2134,362.62
2135,118.59
2141,249.47
2143,39.31
2145,84.49
2146,30.55
2147,286.27
2148,54.09
2149,66.11
2165,121.14
2166,154.98
2177,186.16
